
109,5,,5,,5,,5,,,,,,,,,
155,10,,5,,5,,5,,,,,,,,,
196,10,1,10,,5,,5,,5,,,,,,,
230,15,1,10,1,10,,5,,5,,,,,,,

300,20,2,15,1,10,1,5,,5,,5,,,,,
340,20,2,15,1,10,1,10,,5,,5,,,,,
370,25,2,20,1,15,1,10,,5,,5,,,,,
400,25,2,20,1,15,1,10,,5,,5,,,,,

450,30,2,20,1,15,1,10,1,5,,5,,,,,
480,30,2,25,1,15,1,10,1,5,,5,,,,,
500,30,2,25,1,20,1,10,1,10,,5,,,,,
530,35,2,25,1,20,1,15,1,10,,5,,,,,

580,35,2,30,1,20,1,15,1,10,,5,,5,,,
603,40,2,30,1,20,1,15,1,10,,5,,5,,,
620,40,2,30,1,20,1,15,1,10,,5,,5,,,
640,40,2,30,2,20,1,15,1,10,,5,,5,,,

680,45,3,35,2,25,1,15,1,10,,5,,5,,,
700,45,3,35,2,25,1,15,1,10,,5,,5,,,
720,45,3,35,2,25,1,15,1,10,,5,,5,,,
740,45,3,35,2,25,1,20,1,10,,5,,5,,,

780,50,3,35,2,25,1,20,1,10,1,5,,5,,,
800,50,3,40,2,30,2,20,1,10,1,5,,5,,,
820,50,3,40,2,30,2,20,1,10,1,5,,5,,,
840,55,3,40,2,30,2,20,1,15,1,5,,5,,,

2000,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
2100,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
2200,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
2300,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
