
175,10,1,10,,5,,5,,5,,,,,,,
250,15,1,10,1,10,,5,,5,,,,,,,
310,20,1,15,1,10,1,10,,5,,5,,,,,
380,25,2,20,1,15,1,10,,5,,5,,,,,

490,30,2,25,1,15,1,10,1,5,,5,,,,,
540,35,2,25,1,20,1,15,1,10,,5,,,,,
590,35,2,30,2,20,1,15,1,10,,5,,5,,,
630,40,2,30,2,20,1,15,1,10,,5,,5,,,

720,45,3,35,2,25,1,15,1,10,1,5,,5,,,
760,50,3,35,2,25,1,20,1,10,1,5,,5,,,
810,50,3,40,2,30,1,20,1,10,1,5,,5,,,
840,55,3,40,2,30,1,20,1,15,1,5,,5,,,

920,60,3,45,2,30,2,20,1,15,1,10,,5,,,
960,60,4,45,2,35,2,25,1,15,1,10,,5,,,
990,65,4,45,2,35,2,25,1,15,1,10,,5,,,
1030,65,4,50,2,35,2,25,1,15,1,10,,5,,,

1090,70,4,50,3,40,2,25,1,15,1,10,,5,,,
1130,70,4,55,3,40,2,25,1,15,1,10,,5,,,
1160,75,4,55,3,40,2,30,1,20,1,10,1,5,,5,
1190,75,4,55,3,40,2,30,1,20,1,10,1,5,,5,

1250,80,4,60,3,45,2,30,1,20,1,10,1,5,,5,
1280,80,5,60,3,45,2,30,2,20,1,10,1,5,,5,
1310,85,5,65,3,45,2,30,2,20,1,10,1,5,,5,
1340,85,5,65,3,45,2,30,2,20,1,10,1,5,,5,

2000,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
2100,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
2200,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
2300,95,5,75,4,55,3,35,2,25,1,15,,10,,5,
