
162,10,1,10,,5,,5,,,,,,,,,
230,15,1,10,1,10,,5,,5,,,,,,,
290,20,1,15,1,10,1,5,,5,,5,,,,,
350,20,2,15,1,10,1,10,,5,,5,,,,,

450,30,2,20,1,15,1,10,1,5,,5,,,,,
500,30,2,25,1,15,1,10,1,10,,5,,,,,
540,35,2,25,1,20,1,15,1,10,,5,,,,,
590,35,2,30,1,20,1,15,1,10,,5,,5,,,

670,40,3,30,2,25,1,15,1,10,1,5,,5,,,
710,45,3,35,2,25,1,15,1,10,1,5,,5,,,
740,45,3,35,2,25,1,20,1,10,1,5,,5,,,
780,50,3,35,2,25,1,20,1,10,1,5,,5,,,

850,55,3,40,2,30,1,20,1,15,1,5,,5,,,
880,55,3,40,2,30,2,20,1,15,1,10,,5,,,
920,60,3,45,2,30,2,20,1,15,1,10,,5,,,
950,60,3,45,2,35,2,25,1,15,1,10,,5,,,

1010,65,3,50,2,35,2,25,1,15,1,10,,5,,,
1040,65,3,50,2,35,2,25,1,15,1,10,,5,,,
1070,70,3,50,3,35,2,25,1,15,1,10,,5,,,
1100,70,4,55,3,40,2,25,1,15,1,10,,5,,,

116000,75,4,55,3,40,2,30,1,20,1,10,1,5,,5,
1180,75,4,55,3,40,2,30,1,20,1,10,1,5,,5,
1210,75,4,60,3,40,2,30,1,20,1,10,1,5,,5,
1240,80,4,60,3,45,2,30,1,20,1,10,1,5,,5,

2000,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
2100,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
2200,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
2300,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
